Date,N1,N2,N3,N4,N5
01/01,32,3,17,27,14
01/02,28,19,26,29,32
01/03,4,2,39,6,16
01/05,25,39,4,11,8
01/06,39,25,31,38,17
01/07,14,12,16,5,21
01/08,19,1,24,22,30
01/09,7,30,10,13,9
01/10,23,11,3,29,12
01/12,11,8,19,2,20
01/13,2,14,36,8,6
01/14,21,29,7,15,32
01/15,5,1,28,30,17
01/16,12,35,15,27,4
01/17,35,28,3,31,29
01/19,39,10,32,8,36
01/20,24,21,16,36,25
01/21,13,34,39,12,37
01/22,37,6,26,34,13
01/23,5,38,1,19,15
01/24,23,19,32,27,36
01/26,39,13,16,5,9
01/27,11,25,35,38,26
01/28,17,2,22,16,12
01/29,25,34,5,21,33
01/30,6,16,10,3,1
01/31,32,21,38,12,19
02/02,23,32,7,30,38
02/03,18,1,12,29,22
02/04,20,19,29,2,16
02/05,35,22,32,6,34
02/06,4,39,30,11,32
02/07,12,27,16,24,6
02/09,26,14,22,33,15
02/10,37,6,13,28,20
02/11,20,31,8,5,37
02/12,8,22,30,14,4
02/13,15,9,18,30,28
02/14,36,24,27,6,22
02/16,31,8,2,36,18
02/17,3,14,31,2,25
02/18,14,29,24,10,16
02/19,37,32,12,35,4
02/20,26,16,3,1,12
02/21,18,6,32,14,20
02/23,19,28,14,22,32
02/24,6,31,24,37,18
02/25,34,7,37,9,6
02/26,8,12,9,32,21
02/27,30,9,33,17,7
02/28,12,38,16,5,30
03/02,7,27,38,39,13
03/03,13,16,3,21,9
03/04,35,23,28,13,25
03/05,21,32,17,15,38
03/06,2,21,35,27,11
03/07,33,12,29,38,26
03/09,11,26,22,1,29
03/10,24,31,13,35,37
03/11,19,3,1,25,4
03/12,4,18,29,16,36
03/13,28,39,17,2,13
03/14,15,22,33,14,28
03/16,34,14,16,8,11
03/17,23,6,27,39,36
03/18,33,12,5,32,7
03/19,7,21,32,18,37
03/20,24,38,8,6,13
03/21,21,5,26,24,9
03/23,39,29,4,28,34
03/24,2,16,30,7,28
03/25,23,38,15,34,3
03/26,30,24,23,37,27
03/27,25,6,4,20,33
03/28,14,19,27,15,31
03/30,2,31,19,8,21
03/31,17,9,3,19,6
04/01,38,11,35,5,13
04/02,5,17,11,1,35
04/03,21,36,2,24,20
04/04,12,3,34,36,8
04/06,37,29,13,5,14
04/07,9,32,21,17,39
04/08,18,15,32,24,13
04/09,20,1,15,31,22
04/10,35,38,2,18,30
04/11,19,23,37,25,36
04/13,4,21,19,35,18
